CODE DEPARTEMENT,Code Collectivité,Nom de la collectivité,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Durée,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Taux,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Date,SIREN EPCI,Nom EPCI,population,code,taux
75,056,VILLE DE PARIS,3,100,16/12/22,200054781,Métropole du Grand Paris,2133111,75056,100
44,109,NANTES,3,50,24/06/22,244400404,Nantes Métropole,323204,44109,50
51,454,REIMS,3,50,29/09/14,200067213,CU du Grand Reims,179380,51454,50
14,118,CAEN,3,50,29/09/14,200065597,CU Caen la Mer,108200,14118,50
59,512,ROUBAIX,3,100,26/06/08,200093201,Métropole Européenne de Lille,98892,59512,100
92,063,RUEIL MALMAISON,3,50,01/07/11,200054781,Métropole du Grand Paris,78186,92063,50
95,127,CERGY,3,50,07/09/23,249500109,CA de Cergy-Pontoise,68348,95127,50
33,318,PESSAC,3,50,28/09/21,243300316,Bordeaux Métropole,66760,33318,50
91,228,EVRY-COURCOURONNES,3,50,26/09/19,200059228,CA Grand Paris Sud Seine Essonne Sénart,66177,91228,50
94,041,IVRY SUR SEINE,3,50,24/09/15,200054781,Métropole du Grand Paris,64001,94041,50
82,121,MONTAUBAN,3,50,30/09/14,248200099,CA Grand Montauban,61919,82121,50
73,065,CHAMBERY,3,50,14/03/22,200069110,CA du Grand Chambéry,59856,73065,50
94,046,MAISONS-ALFORT,3,50,29/09/22,200054781,Métropole du Grand Paris,58068,94046,50
94,076,VILLEJUIF,3,50,26/09/23,200054781,Métropole du Grand Paris,57753,94076,50
60,057,BEAUVAIS,3,100,26/03/21,200067999,CA du Beauvaisis,56677,60057,100
93,031,EPINAY SUR SEINE,3,50,25/09/08,200054781,Métropole du Grand Paris,53489,93031,50
91,377,MASSY,3,50,24/09/20,200056232,CA Communauté Paris-Saclay,50962,91377,50
44,162,ST HERBLAIN,3,50,08/10/09,244400404,Nantes Métropole,49537,44162,50
85,194,LES SABLES D'OLONNE,3,50,14/11/22,200071165,CA Les Sables d'Olonne Agglomération,48402,85194,50
08,105,CHARLEVILLE MEZIERES,3,50,12/04/18,200041630,CA Ardenne Métropole,46398,08105,50
93,053,NOISY LE SEC,3,50,25/09/08,200054781,Métropole du Grand Paris,46094,93053,50
13,047,ISTRES,3,50,24/06/09,200054807,Métropole d'Aix-Marseille-Provence,44577,13047,50
78,361,MANTES-LA-JOLIE,3,50,25/06/07,200059889,CU Grand Paris Seine et Oise,44539,78361,50
65,440,TARBES,3,50,26/09/22,200069300,CA Tarbes-Lourdes-Pyrénées,43955,65440,50
57,672,THIONVILLE,3,50,29/09/09,245701362,CA Portes de France-Thionville,42163,57672,50
26,198,MONTELIMAR,3,50,30/03/09,200040459,CA Montélimar Agglomération,40399,26198,50
93,072,STAINS,3,50,22/09/16,200054781,Métropole du Grand Paris,40359,93072,50
93,032,GAGNY,3,50,01/07/21,200054781,Métropole du Grand Paris,40189,93032,50
31,149,COLOMIERS,3,50,27/09/23,243100518,Toulouse Métropole,40159,31149,50
59,178,DOUAI,3,50,14/06/19,200044618,CA Douaisis Agglo,39648,59178,50
77,373,PONTAULT COMBAULT,3,50,01/07/19,200057958,CA Paris - Vallée de la Marne,38258,77373,50
91,589,SAVIGNY SUR ORGE,3,100,24/06/19,200054781,Métropole du Grand Paris,37371,91589,100
91,549,STE GENEVIEVE DES BOIS,3,50,05/04/23,200057859,CA Coeur d'Essonne Agglomération,35846,91549,50
67,180,HAGUENAU,3,100,28/04/10,200067874,CA de Haguenau,35715,67180,100
91,477,PALAISEAU,3,100,12/04/21,200056232,CA Communauté Paris-Saclay,34893,91477,100
62,498,LENS,3,100,25/06/19,246200364,CA de Lens - Liévin,32618,62498,100
33,449,SAINT-MEDARD-EN-JALLES,3,50,28/06/23,243300316,Bordeaux Métropole,32538,33449,50
33,039,BEGLES,3,50,28/09/17,243300316,Bordeaux Métropole,30813,33039,50
93,014,CLICHY SOUS BOIS,3,50,23/05/19,200054781,Métropole du Grand Paris,29735,93014,50
67,218,ILLKIRCH-GRAFFENSTADEN,3,100,21/09/23,246700488,Eurométropole de Strasbourg,27118,67218,100
69,149,OULLINS,3,50,08/07/21,200046977,Métropole de Lyon,27113,69149,50
24,037,BERGERAC,3,100,24/06/10,200070647,CA Bergeracoise,26323,24037,100
44,215,VERTOU,3,50,15/12/22,244400404,Nantes Métropole,26002,44215,50
59,017,ARMENTIERES,3,50,24/09/15,200093201,Métropole Européenne de Lille,25581,59017,50
95,572,ST OUEN L'AUMONE,3,50,11/02/21,249500109,CA de Cergy-Pontoise,25023,95572,50
33,243,LIBOURNE,3,100,19/09/22,200070092,CA du Libournais,24557,33243,100
12,202,RODEZ,3,50,24/09/21,241200187,CA Rodez Agglomération,24207,12202,50
68,297,SAINT-LOUIS,3,50,27/09/18,200066058,CA Saint-Louis Agglomération,22698,68297,50
92,072,SEVRES,3,50,02/07/09,200054781,Métropole du Grand Paris,22618,92072,50
45,284,SAINT JEAN DE BRAYE,3,50,29/09/23,244500468,Orléans Métropole,21700,45284,50
47,323,VILLENEUVE SUR LOT,3,50,29/03/07,200023307,CA du Grand Villeneuvois,21629,47323,50
77,243,LAGNY SUR MARNE,3,50,14/11/18,247700594,CA Marne et Gondoire,21191,77243,50
92,014,BOURG LA REINE,3,50,27/09/23,200054781,Métropole du Grand Paris,20810,92014,50
91,345,LONGJUMEAU,3,50,30/03/21,200056232,CA Communauté Paris-Saclay,20620,91345,50
31,157,CUGNAUX,3,100,24/02/20,243100518,Toulouse Métropole,20341,31157,100
76,451,MONT SAINT AIGNAN,3,50,20/09/07,200023414,Métropole Rouen Normandie,20066,76451,50
92,022,CHAVILLE,3,50,27/03/23,200054781,Métropole du Grand Paris,19991,92022,50
06,085,MOUGINS,3,50,21/09/09,200039915,CA Cannes Pays de Lérins,19677,06085,50
91,326,JUVISY SUR ORGE,3,50,27/06/19,200054781,Métropole du Grand Paris,18424,91326,50
78,123,CARRIERES-SOUS-POISSY,3,50,26/09/23,200059889,CU Grand Paris Seine et Oise,18316,78123,50
35,051,CESSON SEVIGNE,3,50,26/09/07,243500139,Rennes Métropole,17716,35051,50
78,686,VIROFLAY,3,50,09/03/23,247800584,CA Versailles Grand Parc (CAVGP),16960,78686,50
54,528,TOUL,3,50,24/09/08,200070563,CC Terres Touloises,15849,54528,50
74,243,SAINT-JULIEN-EN-GENEVOIS,3,50,21/04/22,247400690,CC du Genevois,15840,74243,50
13,039,FOS SUR MER,3,50,08/04/10,200054807,Métropole d'Aix-Marseille-Provence,15469,13039,50
13,015,BOUC BEL AIR,3,100,19/09/16,200054807,Métropole d'Aix-Marseille-Provence,15248,13015,100
42,186,RIVE DE GIER,3,50,25/03/10,244200770,Saint-Etienne Métropole,15214,42186,50
70,550,VESOUL,3,50,23/09/19,247000011,CA de Vesoul,15130,70550,50
57,606,SAINT AVOLD,3,50,03/09/07,200067502,CA Saint-Avold Synergie,15045,57606,50
59,043,BAILLEUL,3,50,22/09/11,200040947,CA Coeur de Flandre,14869,59043,50
10,323,ROMILLY SUR SEINE,3,50,06/09/08,200000545,CC des Portes de Romilly sur Seine,14766,10323,50
91,645,VERRIERES LE BUISSON,3,50,25/09/23,200056232,CA Communauté Paris-Saclay,14597,91645,50
60,176,CREPY EN VALOIS,3,50,30/05/18,246000871,CC du Pays de Valois,14217,60176,50
91,432,MORANGIS,3,50,27/03/17,200054781,Métropole du Grand Paris,13211,91432,50
68,166,KINGERSHEIM,3,100,19/09/18,200066009,CA Mulhouse Alsace Agglomération,13178,68166,100
06,152,VALBONNE,3,100,06/07/09,240600585,CA de Sophia Antipolis,12754,06152,100
45,068,CHALETTE SUR LOING,3,50,13/10/08,244500203,CA Montargoise et Rives du Loing (AME),12728,45068,50
35,024,BETTON,3,50,07/07/21,243500139,Rennes Métropole,12695,35024,50
83,049,CUERS,3,50,27/09/23,200027100,CC Méditerranée Porte des Maures,12550,83049,50
63,284,PONT-DU-CHATEAU,3,50,08/07/22,246300701,Clermont Auvergne Métropole,12459,63284,50
69,027,BRIGNAIS,3,50,17/09/09,246900757,CC de la Vallée du Garon (CCVG),12388,69027,50
48,095,MENDE,3,50,06/04/23,244800405,CC Coeur de Lozère,12316,48095,50
68,271,RIEDISHEIM,3,50,29/09/22,200066009,CA Mulhouse Alsace Agglomération,12163,68271,50
76,057,BARENTIN,3,50,18/09/23,247600646,CC Caux - Austreberthe,12154,76057,50
44,132,PORNICHET,3,100,22/09/21,244400644,CA de la Région Nazairienne et de l'Estuaire (CARENE),12121,44132,100
14,341,IFS,3,50,01/07/19,200065597,CU Caen la Mer,11981,14341,50
76,114,BOLBEC,3,50,24/06/09,200010700,CA Caux Seine Agglo,11635,76114,50
91,552,ST GERMAIN LES ARPAJON,3,50,07/06/07,200057859,CA Coeur d'Essonne Agglomération,11305,91552,50
44,003,ANCENIS ST GEREON EX ANCENIS,3,50,24/09/18,244400552,CC du Pays d'Ancenis,11099,44003,50
83,073,LE LUC,3,50,25/09/09,248300550,CC Coeur du Var,11053,83073,50
91,216,EPINAY SUR ORGE,3,50,27/09/22,200056232,CA Communauté Paris-Saclay,10760,91216,50
78,688,VOISINS-LE-BRETONNEUX,3,50,25/09/23,200058782,CA de Saint Quentin en Yvelines,10721,78688,50
971,24,SAINT-CLAUDE,3,50,26/09/08,249710070,CA Grand Sud Caraïbe,10700,97124,50
24,053,BOULAZAC ISLE MANOIRE,3,50,13/07/21,200040392,CA Le Grand Périgueux,10697,24053,50
62,548,MARCK,3,50,30/09/21,200090751,CA Grand Calais Terres et Mers,10494,62548,50
76,476,PORT-JEROME-SUR-SEINE,3,100,03/12/20,200010700,CA Caux Seine Agglo,10387,76476,100
