Région;AB;C;E;FG
Auvergne-Rhône-Alpes;7% à 10%;3% à 5%;-6% à -5%;-19% à -17%
Bourgogne-Franche-Comt";12% à 18%;6% à 10%;-11% à -8%;-25% à -23%
Bretagne;9% à 13%;5%à 8%;-10% à -8%;-20% à -18%
Centre-Val de Loire;9% à 14%;4% à 7%;-8% à -6%;-21% à -19%
Grand Est;12% à 17%;7% à 10%;-10% à -8%;-24% à -22%
Hauts-de-France;8% à 12%;5% à 7%;-10% à -8%;-24% à -22%
Normandie;8% à 12%;3% à 6%;-7% à -5%;-19% à -17%
Nouvelle Aquitaine;11% à 14%;6% à 8%;-11% à -10%;-26% à -24%
Occitanie;17% à 19%;8% à 9%;-10% à -8%;-18% à -16%
Pays de la Loire;11% à 14%;4% à 6%;-8% à -6%;-19% à -17%
Provence-Alpes-Côte d'Azur;8% à 12%;2% à 4%;-6% à -4%;-15% à -12%
;;;;
Ile-de-France - Petite Couronne;;;-6% à -5%;-9% à -6%
Ile-de-France - Grande Couronne;4% à 7%;2% à 4%;-6% à -5%;-11% à -9%
